No,සෙල්ලිපි අංකය,අක්ෂර පරිවර්තනය
100,352,මගශ ලෙණ‌ෙ
101,353,[16] පරුමක-නුගුය-වෙලු-පුතන ශිගර-මලුශ ච නුගුය-මලුශ ච ලෙණ‌ෙ
102,357,[20] දමෙඩ-වණිඣ ගපති-විශකහ සෙණි-කමෙ
103,365,[28] බත-ශුමනශ ලෙණ‌ෙ ශගශ දිනෙ
104,369,[32] මතුල-බගිනියන ලෙණ‌ෙ අගත-අනගත-චතු-දිශ-ශගශ නියතෙ ශෙ
105,380,පෙළ සහ අර්ථය අංක 2 හා සමාන වෙයි.
106,387,[3] පුශහ බත-නගශ මහචිතශ
107,389,[1] උපරඣ-නග-පුතෙ රඣ-අබයෙ නම තශ පුතෙ ගමණි-තිශෙ නම තෙන කරිතේ ශුදශනෙ ශගශ
108,390,[2] බත-පුශබුතිය ලෙණ‌ෙ ශගශ
109,391,[3] මනොරමෙ ලෙණ‌ෙ බත-ගුතෙන කරිතෙ ශගශ
110,392,[4] බත-දෙවගුතහ බතිකහ ගපති-ශමණහ ලෙණ‌ෙ
111,395,[7] බත-ශුදිනශ ලෙණ‌ෙ ශගශ
112,397,[2] පරුමක-ශදනශ ඣය උපශික-ශුමනය ලෙණ‌ෙ
113,399,[1] බත-රකිය ලෙණ‌ෙ
114,400,[2] උපශක-චුඩහ ලෙණ‌ෙ ශගශ
115,401,[3] ශගශ උපශක-චුඩහ අශිය ශිවහ ශදි ශදය
116,403,පරුමක-වෙ[ල]හ ලෙණ‌ෙ ශගශ
117,404,[2] දෙවනපිය-මහරඣහ ගාමිණි-තිශහ පුත මහතිස-අයහ ලෙණ‌ෙ ශගිකෙ
118,405,උපශක-තිශහ ච ඣය-රෙවය ච ලෙණ‌ෙ ශගශ
119,407,[1] එක-උතිරික-බණක පුශදෙව-තෙරහ මනොරමෙ
120,408,[2] මනොරමෙ (ලෙනෙහි නම)
121,410,[4] බත-තිශ-බුතිය ච බත-කුඩක-තිශහ ච
122,411,[5] වරුණගුතහ ලෙණ‌ෙ ශගශ
123,412,[6] අශිය-අනුඩිය ලෙණ‌ෙ
124,414,[8] ශුමනහ ලෙණ‌ෙ
125,418,[12] අශ-චිතගුතහ අශ-උපතිශහ
126,422,[1] දෙවනපිය-මහරඣ ගමිණි-තිශහ පුත මහ-අයහ ඣය උපශික-යහශිනිය ලෙණ‌ෙ
127,423,[2] දෙවනපිය-මහරඣහ ගමණි-තිශහ පුත මහ-අයහ මහ-ලෙණ‌ෙ
128,424,[3] මහරඣහ දෙවනපියහ ගමණි-තිශහ පුතහ තිශ-අයහ මහ-ලෙණ‌ෙ
129,426,[5] දෙවනපිය-මහරඣහ ගමණි-තිශහ පුතහ තිශ-අයහ ඣය උපශික-ශමිකය ලෙණ‌ෙ
130,430,[9] බත-තිශගුතහ ලෙණ‌ෙ ශිශමුකෙ
131,442,[21] මිටියමත තිශහ ලෙණ‌ෙ
132,443,[22] බත-ශිවබුතිය ලෙණ‌ෙ ශුපදිතිතෙ
133,444,[23] [ච]න[-තිශ]-පවත-ව[ශි ක]-පුශ-තෙරහ ලෙණ‌ෙ
134,445,[24] මෙහි පෙළ අංක [21] ලිපිය හා සමාන වෙයි; 'මත' වෙනුවට 'මුත' භාවිත කර ඇත. දකුණේ සිට වමට කියවිය යුතු වෙයි.
135,448,[27] දමරකිත-තෙර-ශදිවිශරිය බත-ශ...........
136,449,[28] ශිව-තෙරශ ලෙණ‌ෙ
137,450,[29] ශිව-තෙර............
138,451,[30] නගශෙන-තෙරශ ශුදශනෙ
139,453,[32] උපශක-දතශ ලෙණ‌ෙ
140,454,[33] ශුරි-තෙරශ ලෙණ‌ෙ ශගශ
141,455,[34] බුදරකිත-තෙරශ ලෙණ‌ෙ බයබෙරවෙ
142,461,[40] තිශමිත-තෙරශ ලෙණ‌ෙ පුඩලඣකෙ
143,464,[43] තිශමිත-තෙරශ ලෙණ‌ෙ ශගශ
144,465,[44] උපතිශහ ලෙණ‌ෙ
145,469,කුබිර-තෙරහ වනෙ
146,473,[1] දොදශ-ඣනන චදක-ලෙණ‌ෙ
147,475,බත-තිශ-ගුතහ ගමික-චුලහ උපශික-උපලය.............
148,477,පරුමක-වෙල-පුත පරුමක-උතරශ ලෙණ‌ෙ
149,478,[1] මිත-තෙරහ පිතශ උපශක ශිවශ ලෙණ‌ෙ
150,479,[2] ගමික වණ-තිශහ
151,495,පරුමක-තිශ-පුත පරුමකඅදිලිය ලෙණ‌ෙ ශගශ
152,496,[1] පරුමක-ශුමන-පුතශ තිශශ ලෙණ‌ෙ
153,497,[2] පරුමක-මිත-පුත පරුමක-රකිය ලෙණ‌ෙ ශගශ
154,498,[1] (සංකේත අංක18) පරුමක-නදික-පුතශ පරුමක-මිතශ ලෙණ‌ෙ මහශුදශනෙ ශගශ දිනෙ
155,499,[2] බත-පුශගුතශ ය ලෙණ‌ෙ මනපද[ශ]නෙ ලෙණ‌ෙ ශගශ දිනෙ
156,500,[3] ගමික-නග-පුතෙ ගමික-තිශ කරපිතෙ ඉම ලෙණ‌ සෙනපති ඣුවය ශගශ දිනෙ
157,501,[4] බත-ශගරකිතශ ලෙණ‌ෙ පටිබන-කුටෙ ශග[ශ] දිනෙ
