word,meaning,සෙල්ලිපි අංකය
පරුමක,ප්‍රමුඛ,1008
නගහ,නාගගේ,1008
ලෙණෙ,ලෙණ,1008
අගත,පැමිණියාවූත්,1008
අනගත,නොපැමිණියාවූත්,1008
චතු,සතරදෙස,1008
දිශ,සංඝයාට,1008
ශගශ,.,1008
,,1017
කණිකණටිය,හි,1017
ගමික,ගම්,1017
තිශ,ප්‍රධානි,1017
පුත,තිස්සගේ,1017
ගමික,පුත්,1017
දරක,වන,1017
තිශහ,ගම්,1017
ලෙණෙ,ප්‍රධානි,1017
අගත,දාරක,1017
අනගත,තිස්සගේ,1017
චතු,ලෙණ,1017
දිශ,පැමිණියාවූත්,1017
ශගශ,නොපැමිණියාවූත්,1017
,,1027
දෙවනපිය,කුමරුගේ,1027
මහරඣ,ලෙණ,1027
ගමණි,ආදී,1027
අබයශ,වශයෙන්.,1027
,,1028
මහරඣහ,පුත්,1028
පුත,වන,1028
තිශයහ,තිස්ස,1028
බරියන,කුමරුගේ,1028
ලෙණෙ,භාර්යාවන්ගේ,1028
සවතොභදෙ,සවතොභද,1028
අගත,ලෙණ,1028
අනගත,පැමිණියාවූත්,1028
චතු,නොපැමිණියාවූත්,1028
දිශික,සතරදෙස,1028
ශඝශ,සංඝයාට,1028
,,1029
පරුමක,දත්තගේ,1029
දතහ,දෙව‍රමණ,1029
ලෙණෙ,ලෙණ,1029
දෙවරමණ,සංඝයාට,1029
ශගශ,.,1029
,,1030
පරුමක,තිස්ස............,1030
,,1031
උපශක,සුමනගේ,1031
ශුමනහ,පටිභානකූට,1031
ලෙණෙ,ලෙණ,1031
පටිබනකුටෙ,සංඝයාට,1031
ශගශ,.,1031
,,1035
මහරඣහ,පත්කළ,1035
පණිත,භාණ්ඩාගාරික,1035
බඩකරික,සුමනගේ,1035
පරුමක,.,1035
,,1037
බම,නගරය,1037
නගර,භුක්තිවිඳින්නා,1037
බොඣික,වූ,1037
පරුමක,ප්‍රමුඛ,1037
රොණහ,රොහණගේ,1037
ලෙණෙ,ලෙණ.,1037
,,1038
ගපති,මූලගේ,1038
මුල,පුත්,1038
පුතහ,වන,1038
උපශක,උපාසක,1038
ශොණහ,සොණගේ,1038
ලෙණෙ,ලෙණ.,1038
,,1039
උපශක,මහානාගගේ,1039
මහනගහ,සහ,1039
ච,උපාසක,1039
උපශක,තිස්සගේ,1039
තිශහ,ද,1039
ච,ලෙණ.,1039
,,1041
ගමික,ප්‍රධානි,1041
මඣිමහ,මජ්ඣිමගේ,1041
පුත,පුත්,1041
ගමික,වන,1041
මිතහ,ගම්,1041
ලෙණෙ,ප්‍රධානි,1041
,,1060
මහරඣශ,ප්‍රියවූ,1060
දෙවනපියහ,මහරජුගේ,1060
අචිරිය,ආචාර්ය,1060
බමණ,බ්‍රාහ්මණ,1060
ගොබුතිය,ගොභූතිගේ,1060
ලෙණෙ,ලෙණ.,1060
,,1065
බමණ,ඵුස්සකගේ,1065
පුශක,පුත්,1065
පුතහ,වන,1065
පුනශුගුතහ,පුනභසුගුත්තගේ,1065
ලෙණෙ,ලෙණ.,1065
,,1066
බුදරකිත,තෙරුණ්ගේ,1066
තෙරහ,ලෙණ,1066
ලෙණෙ,ම.................,1066
,,1067
අශිය,සිවභූතිගේ,1067
ශිවබුතිය,ලෙණ.,1067
,,1068
පුශ,තෙරුණ්,1068
තෙරහ,කරවන,1068
කරිතෙ,ලද,1068
ශගශ,සංඝයාට,1068
,,1069
බත,සිවභූති,1069
ශිවබුති,ගේ,1069
ච,සහ,1069
පරුමක,ප්‍රමුඛ,1069
[ශු]මන,සුමනගුත්තගේ,1069
ගුතහ,ද,1069
ච,සම,1069
ශදය,දීමනාව,1069
ලෙණෙ,වූ,1069
,,1070
උපශක,ගණකාධිකාරී,1070
ගණක,භූතගේ,1070
බුතහ,ලෙණ,1070
ලෙණෙ,සංඝයාට,1070
ශගශ,.,1070
,,1071
පරුමක,සුඛදගේ,1071
ශුකද,පවුලේ,1071
කුලහ,ලෙණ.,1071
,,1072
දමරකිත,තෙරුණ්ගේ,1072
තෙරහ,ලෙණ,1072
ලෙණෙ,සංඝයාට,1072
ශගශ,.,1072
,,1075
බත,සුමනගේ,1075
ශුමනහ,ලෙණ.,1075
,,1078
වදශ,ලෙණ.,1078
,,1079
දතහ,ලෙණ.,1079
,,1081
උපශික,කස්සපිගේ,1081
කශබිය,ලෙණ,1081
ලෙණෙ,සංඝයාට,1081
ශගශ,.,1081
,,1084
බත,දෙවගේ,1084
දෙවහ,ලෙණ.,1084
,,1085
පරුමක,නාගගේ,1085
නගහ,ලෙණ.,1085
,,1086
උපශික,සුභාගාගේ,1086
ශුබගය,සංඝයාට,1086
ශගශ,.,1086
පරුමක,ප්‍රමුඛ,1086
ශුමහ,සුම්මගේ.,1086
,,1087
චුඩතිශහ,ලෙණ,1087
ලෙණෙ,සංඝයාට,1087
ශගශ,.,1087
,,1088
පරුමක,සුමනගේ,1088
ශුමන,පුත්,1088
පුතහ,වන,1088
චුඩ,චූළ,1088
ශුමනහ,සුමනගේ,1088
ලෙණෙ,ලෙණ,1088
බත,;,1088
තිශගුතහ,ප්‍රධානි,1088
ච,තිස්සගුත්තගේ,1088
ලෙණෙ,ද,1088
,,1090
ඣිත,තෙරුණ්ගේ,1090
තෙරහ,මහාසුදස්සන,1090
මහශුදශනෙ,නම්,1090
උපශික,ලෙණ,1090
තිශය,සහ,1090
තෙරහ,උපාසිකා,1090
නග,තිස්සාගේ,1090
ලෙණෙ,තෙරුණ්ගේ,1090
,,1093
බත,සොණගේ,1093
ශොණහ,ලෙණ.,1093
,,1094
ගමික,ප්‍රධානි,1094
තිශහ,තිස්සගේ.,1094
,,1097
පරුමක,සිවගේ,1097
ශිවහ,ද,1097
ච,ප්‍රධානි,1097
බත,අයිමරගේ,1097
අයිමරහ,ද,1097
ච,ලෙණ.,1097
,,1103
මහරඣහ,දියණිය,1103
ඣිත,වන,1103
මහබිය,මහබිගේ,1103
ලෙණෙ,ලෙණ,1103
අගත,පැමිණියාවූත්,1103
අනගත,නොපැමිණියාවූත්,1103
චතු,සතරදෙස,1103
දිශ,සංඝයාට,1103
ශගශ,පවරා,1103
නියතෙ,දෙන,1103
,,1155
උපසක,වසගේ,1155
වසහ,ලෙණ,1155
ලෙණෙ,සංඝයාට,1155
සග,පවරා,1155
නියතෙ,දෙන,1155
,,1171
[පරුමක],යාගදත්තගේ,1171
යකදතහ,පුත්,1171
පුතහ,වන,1171
පරුමක,ප්‍රමුඛ,1171
වහබහ,වසභගේ,1171
ලෙණෙ,ලෙණ,1171
චතු,සතරදෙස,1171
දිසික,සංඝයාට,1171
සගස,පවරා,1171
නියතෙ,දෙන,1171
,,1172
තිශ,තෙරුණ්ගේ,1172
තෙරහ,ලෙණ,1172
ලෙණෙ,සතරදෙස,1172
චදු,භික්ෂු,1172
දිසික,සංඝයාට,1172
බිකු,පරිත්‍යාග,1172
සගයෙ,කරන,1172
නියතෙ,ලදී.,1172
පිතහ,උපාසක,1172
උපසක,නාගගේ,1172
නකහ,පියාණන්ගේ,1172
ලෙණෙ,ලෙණ.,1172
,,1188
පරුමක,තිස්සගේ,1188
තිසහ,ලෙණ,1188
ලෙණෙ,සංඝයාට,1188
සගස,.,1188
,,1191
සුම,තෙරුණ්ගේ,1191
තෙරහ,............,1191
,,1203
සිදම්,වේවා,1203
[|],!මයහල,1203
මයහල,හි,1203
වසික,වාසය,1203
............,කරන,1203
,,1221
පරුමක,චිත්තගේ,1221
චිතහ,ලෙණ,1221
ලෙණෙ,සංඝයාට,1221
සගස,.,1221
,,1231
අමතෙ,වහිටිමතගේ,1231
වහිටිමතහ,ලෙණ.,1231
,,1232
උපසික,සුම්මාගේ,1232
හුමය,ලෙණ.,1232
