word,meaning,සෙල්ලිපි අංකය
ඣිශ,වන,319
තිශ[ය],තිස්සාගේ,319
,,324
අශ,අයුෂ්මන්ත,324
දමගුතහ,ධම්මගුත්තගේ,324
ලෙණ‌ෙ,ලෙණ‌,324
ශගශ,සංඝයාට,324
,,325
බත,ප්‍රධානි,325
අබයහ,අභයගේ,325
ලෙණ‌ෙ,ලෙණ‌,325
ශගශ,සංඝයාට,325
,,326
දමගුතහ,ධම්මගුත්තගේ,326
ලෙණ‌ෙ,ලෙණ‌,326
ශගශ,සංඝයාට,326
,,327
තිශ,තිස්ස,327
තෙරහ,තෙරුණ්ගේ,327
අතෙවශික,ශිෂ්‍ය,327
ශුඅමන,වන,327
තෙරහ,සුමන,327
ලෙණ‌ෙ,තෙරුණ්ගේ,327
අගත,ලෙණ‌,327
අනගත,පැමිණියාවූත්,327
චතු,නොපැමිණියාවූත්,327
දී[ශ],සතරදෙස,327
ශගශ,සංඝයාට,327
,,328
පරුමක,ප්‍රමුඛ,328
නදික,නන්දිකගේ,328
පුතශ,පුත්,328
පරුමක,වන,328
මිතශ,ප්‍රමුඛ,328
ලෙණ‌ෙ,මිත්තගේ,328
අගත,ලෙණ‌,328
අනගත,පැමිණියාවූත්,328
චතු,නොපැමිණියාවූත්,328
දිශ,සතරදෙස,328
ශගශ,සංඝයාට,328
දිනෙ,.,328
,,329
පරුමක,ප්‍රමුඛ,329
හදකහ,හදකගේ,329
බැරිය,භාර්යාව,329
උපශික,උපාසිකා,329
නගය,නාගා,329
ච,සහ,329
පුතා,ඔහුගේ,329
උපශක,පුතුන්,329
තිශහ,වන,329
ච,උපාසක,329
උපශක,තිස්ස,329
දෙවහ,සහ,329
ච,උපාසක,329
ලෙණ‌ෙ,දෙවගේ,329
අගත,ලෙණ‌,329
අනගත,පැමිණියාවූත්,329
චතු,නොපැමිණියාවූත්,329
දිශ,සතරදෙස,329
ශගශ,සංඝයාට,329
නියතෙ,පරිත්‍යාග,329
,,330
තිශගුත,තිස්සගුත්ත,330
තෙරශ,තෙරුණ්,330
ශදිවිහරිය,හා,330
බරත,එක්ව,330
මඣිමබණක,වාසය,330
තිශහ,කරන,330
ලෙණ‌ෙ,මජ්ඣිම-ප්‍රධානි,330
ශුදශනෙ,තිස්ස,330
අගත,තෙරුණ්ගේ,330
අනගත,සුදස්සන,330
චතු,(නම්),330
දිශ,ලෙණ‌,330
ශගශ,පැමිණියාවූත්,330
නියතෙ,නොපැමිණියාවූත්,330
,,331
පරුමක,ප්‍රමුඛ,331
මිත,මිත්තගේ,331
ඣය,භාර්යාව,331
පරුමක,වන,331
ශත,ප්‍රමුඛ,331
නශත,ශත,331
ඣිත,නශතගේ,331
පරුමකලු,දියණිය,331
පුශය,වන,331
ලෙණ‌ෙ,ප්‍රමුඛාවිය,331
අගත,ඵුස්සාගේ,331
අනගත,ලෙණ‌,331
චතු,පැමිණියාවූත්,331
ශගශ,නොපැමිණියාවූත්,331
,,335
බරත,ප්‍රධානි,335
තිශශ,තිස්සගේ,335
ලිණ‌ෙ,ලෙණ‌.,335
,,337
පරුමක,ප්‍රමුඛ,337
[ශො]ණහ,සොණගේ,337
ලෙණ‌ෙ,ලෙණ‌.,337
ගමික,ගම්,337
තිශහ,ප්‍රධානි,337
ලෙණ‌ෙ,තිස්සගේ,337
ශගශ,ලෙණ‌,337
,,338
රඣ,අනාගත,338
නග,සැප,338
ඣිත,පහසුව,338
උති,පිණිස,338
ඣයඅබි,සහ,338
අනුරදි,සක්වල,338
ච,සියලු,338
රඣ,සත්ත්වයින්ගේ,338
උති,හිතසුව,338
ච,පිණිස,338
කරපිට,නාග,338
ශ‌ෙ,රජුගේ,338
ඉම,දියණිය,338
ලෙණ‌,වන,338
චතු,උත්තිය,338
දිශශ,රජුගේ,338
ශගය,භාර්යාව,338
අගත්,වන,338
අගතන,(අබි)අනුරාධි,338
පශු,කුමරිය,338
විහරයෙ,ද,338
අපරිමිත,උත්තිය,338
ලොකදතුය,රජු,338
ශතන,ද,338
ශිත,කරවූ,338
ශුකයෙ.,මෙම,338
,,342
බදිර,ප්‍රධානි,342
මහතිශ,මහාතිස්සගේ,342
පුත,පුත්,342
මහ,වන,342
ශුමනශ,මහාසුමනගේ,342
ලෙණ‌ෙ,ලෙණ‌.,342
,,343
පරුමක,ප්‍රමුඛ,343
උති,උත්තියගේ,343
පුත,පුත්,343
චුඩි,වන,343
නගශ,චූඩි-නාගගේ,343
ලෙණ‌ෙ,ලෙණ‌.,343
,,345
ගපති,ගෘහපති,345
දමශෙන,ධම්මසේනගේ,345
පුත,පුත්,345
ශුමන,වන,345
මලශ,සුමනමල්ලගේ,345
ච,සහ,345
ගපති,ගෘහපති,345
මඣිමතිශ,මජ්ඣිම-තිස්සගේ,345
පුත,පුත්,345
දිගතිශශ,වන,345
ච,දීඝතිස්සගේ,345
ලෙණ‌ෙ,ලෙණ‌.,345
,,352
මගශ,මාඝගේ,352
ලෙණ‌ෙ,ලෙණ‌.,352
,,353
පරුමක,ප්‍රමුඛ,353
නුගුය,නුගුය-වෙලුගේ,353
වෙලු,පුතුන්,353
පුතන,වන,353
ශිගර,සිගර-මලුගේ,353
මලුශ,සහ,353
ච,නුගුය-මලුගේ,353
නුගුය,ලෙණ‌.,353
,,357
දමෙඩ,ද්‍රවිඩ,357
වණිඣ,වෙළඳ,357
ගපති,ගෘහපති,357
විශකහ,විශාක,357
සෙණි,විසින්,357
කමෙ,කරන,357
,,365
බත,ප්‍රධානි,365
ශුමනශ,සුමනගේ,365
ලෙණ‌ෙ,ලෙණ‌,365
ශගශ,සංඝයාට,365
දිනෙ,දෙන,365
,,369
මතුල,මයිලනුවන්ගේ,369
බගිනියන,සහ,369
ලෙණ‌ෙ,බෑනාවරුන්ගේ,369
අගත,ලෙණ‌,369
අනගත,පැමිණියාවූත්,369
චතු,නොපැමිණියාවූත්,369
දිශ,සතරදෙස,369
ශගශ,සංඝයාට,369
නියතෙ,පරිත්‍යාග,369
ශෙ,කරන,369
,,387
පුශහ,ඵුස්සගේ,387
බත,ප්‍රධානි,387
නගශ,නාගගේ,387
මහචිතශ,මහාචිත්තගේ,387
,,389
උපරඣ,උපරාජ,389
නග,නාගගේ,389
පුතෙ,පුත්,389
රඣ,අබය,389
අබයෙ,රජු,389
නම,වෙයි.,389
තශ,ඔහුගේ,389
පුතෙ,පුත්,389
ගමණි,ගාමණි,389
තිශෙ,තිස්ස,389
නම,නම්,389
තෙන,වෙයි.,389
කරිතේ,ඔහු,389
ශුදශනෙ,විසින්,389
ශගශ,කරන,389
,,390
බත,ප්‍රධානිප්‍රධානි,390
පුශබුතිය,ඵුස්සභූතිගේ,390
ලෙණ‌ෙ,ලෙණ‌,390
ශගශ,සංඝයාට,390
,,391
මනොරමෙ,ප්‍රධානි,391
ලෙණ‌ෙ,ගුත්ත,391
බත,විසින්,391
ගුතෙන,කරවන,391
කරිතෙ,ලද,391
ශගශ,මනොරම,391
,,392
බත,ප්‍රධානි,392
දෙවගුතහ,දෙවගුත්තගේ,392
බතිකහ,සහෝදරයා,392
ගපති,වන,392
ශමණහ,ගෘහපති,392
ලෙණ‌ෙ,සමණගේ,392
,,395
බත,ප්‍රධානි,395
ශුදිනශ,සුදින්නගේ,395
ලෙණ‌ෙ,ලෙණ‌,395
ශගශ,සංඝයාට,395
,,397
පරුමක,ප්‍රමුඛ,397
ශදනශ,සදනගේ,397
ඣය,භාර්යාව,397
උපශික,වන,397
ශුමනය,උපාසිකා,397
ලෙණ‌ෙ,සුමනාගේ,397
,,399
බත,ප්‍රධානි,399
රකිය,රකිගේ,399
ලෙණ‌ෙ,ලෙණ‌.,399
,,400
උපශක,උපාසක,400
චුඩහ,චූළගේ,400
ලෙණ‌ෙ,ලෙණ‌,400
ශගශ,සංඝයාට,400
,,401
ශගශ,උපාසක,401
උපශක,චූළගේ,401
චුඩහ,සහ,401
අශිය,අයුෂ්මන්ත,401
ශිවහ,සිවගේ,401
ශදි,සාමුහික,401
ශදය,ලෙණ‌,401
,,403
පරුමක,ප්‍රමුඛ,403
වෙ[ල]හ,වෙගේ,403
ලෙණ‌ෙ,ලෙණ‌,403
ශගශ,සංඝයාට,403
,,404
දෙවනපිය,දෙවියන්ට,404
මහරඣහ,ප්‍රිය,404
ගාමිණි,වූ,404
තිශහ,මහරජ,404
පුත,ගාමිණි,404
මහතිස,තිස්සගේ,404
අයහ,පුත්,404
ලෙණ‌ෙ,වන,404
ශගිකෙ,මහාතිස්ස,404
,,405
උපශක,උපාසක,405
තිශහ,තිස්සගේ,405
ච,සහ,405
ඣය,භාර්යාව,405
රෙවය,වන,405
ච,රෙවාගේ,405
ලෙණ‌ෙ,ලෙණ‌,405
ශගශ,සංඝයාට,405
,,407
එක,එකොත්තරිකහි,407
උතිරික,(අංගුත්තරාගම),407
බණක,දේශක,407
පුශදෙව,ඵුස්සදේව,407
තෙරහ,තෙරණුවන්ගේ,407
මනොරමෙ,මනොරම,407
,,410
බත,ප්‍රධානි,410
තිශ,තිස්සභූතිගේ,410
බුතිය,ද,410
ච,ප්‍රධානි,410
බත,කුඩකතිස්සගේ,410
කුඩක,ද,410
තිශහ,.,410
,,411
